@relation 'hadoop_arc_prediction_change-weka.filters.unsupervised.attribute.Remove-R2,11-13-weka.filters.supervised.instance.SMOTE-C1-K5-P3395.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P474.0-S1'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
c,1,0,0,0,0,1,0,1
a,0,0,0,0,0,0,0,1
c,1,1,1,0,0,1,1,1
a,0,0,0,0,0,0,0,1
a,0,0,0,0,0,0,0,0
b,1,0,0,0,0,0,0,1
a,1,0,0,0,0,1,0,0
b,1,0,1,0,0,0,0,1
a,0,0,1,0,0,0,0,0
a,1,0,0,0,0,0,0,1
a,1,0,1,0,0,1,0,1
a,0,0,0,0,0,0,0,1
a,1,0,1,0,0,0,0,1
a,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0
a,0,0,0,0,0,0,0,0
a,1,0,0,0,0,1,0,0
a,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,1,0,1,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,1,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
b,1,0,0,0,0,0,0,1
a,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,1,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1
a,0,0,1,0,0,0,0,1
a,1,0,0,0,0,0,0,0
c,1,0,1,0,0,1,0,1
a,0,0,0,0,0,0,0,0
a,0,1,0,0,0,0,0,0
a,1,0,0,0,0,1,0,0
b,1,0,1,0,0,1,0,1
a,0,0,0,0,0,0,0,1
a,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,0,1
a,0,0,0,0,0,0,0,1
a,0,0,0,0,0,0,0,0
a,1,0,0,0,0,0,0,1
a,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0
a,1,0,0,0,0,0,0,0
c,1,1,1,0,0,1,1,1
a,0,0,0,0,0,0,0,0
